run_id,node_id,label,target_freq_hz,target_band,suggested_z_metric,rows,good_rows,first_timestamp,last_timestamp,mean_effective_sample_rate_hz,sample_rate_ok_ratio,mean_dbfs,mean_db_spl,mean_f_peak_hz,mean_f_peak_full_hz,mean_f_peak_acoustic_hz,mean_tone_1khz_ratio,max_tone_1khz_ratio,mean_tone_1khz_local_ratio,mean_tone_1khz_contrast_db,mean_low_rumble_ratio,mean_band_sub_ratio,mean_band_bass_ratio,mean_band_low_mid_ratio,mean_band_mid_ratio,mean_band_presence_ratio,mean_band_high_ratio,max_band_bass_ratio,max_band_mid_ratio,max_band_presence_ratio,max_band_high_ratio,mean_dominant_band_ratio,dominant_band_mode,capture_complete_status
capture_20260708185029,node04,test_tone_100hz,100,bass/sub,band_bass_ratio,59,59,2026-07-08T18:50:37.119Z,2026-07-08T18:51:35.348Z,48004.89372881357,1,-86.15728813559323,33.842711864406766,96.9542372881356,96.9542372881356,362.2881355932204,0.0707504576271186,0.206412,0.352359406779661,-5.470508474576272,0.5301969999999999,0,0.4639354576271187,0.2046216440677965,0.1708033559322034,0.0768838474576271,0.0837557966101695,0.832818,0.382811,0.156819,0.163488,0.5053762203389832,bass,complete
capture_20260708185029,node03,test_tone_100hz,100,bass/sub,band_bass_ratio,59,59,2026-07-08T18:50:37.153Z,2026-07-08T18:51:35.374Z,48001.18389830511,1,-85.67677966101692,34.32322033898305,89.02542372881364,89.02542372881364,440.1372881355933,0.066255220338983,0.154281,0.3102408474576271,-6.019999999999998,0.6301587457627121,0,0.5751240847457626,0.1401521525423728,0.1446431694915254,0.0662657966101695,0.0738148983050847,0.850899,0.335081,0.121803,0.142157,0.5838762711864406,bass,complete
capture_20260708185029,node01,test_tone_100hz,100,bass/sub,band_bass_ratio,59,59,2026-07-08T18:50:37.143Z,2026-07-08T18:51:35.388Z,48006.40576271188,1,-82.92864406779661,37.07135593220338,94.59322033898314,94.59322033898314,355.9355932203389,0.0740764745762711,0.176013,0.3723526101694916,-5.071694915254239,0.8243122542372882,0,0.793734406779661,0.0825788305084746,0.0650048644067796,0.0287823389830508,0.0298995593220338,0.933002,0.138391,0.068134,0.055004,0.793734406779661,bass,complete
capture_20260708185029,node02,test_tone_100hz,100,bass/sub,band_bass_ratio,59,59,2026-07-08T18:50:37.130Z,2026-07-08T18:51:35.306Z,48019.4772881356,1,-82.83864406779664,37.161355932203406,171.61694915254236,171.61694915254236,293.12372881355964,0.0274313559322033,0.094898,0.364168627118644,-5.589322033898305,0.4674414237288135,0,0.4422979999999999,0.4276650338983052,0.0688781355932203,0.0298937288135593,0.0312649830508474,0.771119,0.202846,0.065873,0.060849,0.5422159830508475,low_mid,complete
capture_20260708185259,node02,test_tone_500hz,500,low_mid,band_low_mid_ratio,59,59,2026-07-08T18:53:06.795Z,2026-07-08T18:54:05.060Z,48014.86305084749,1,-84.39830508474576,35.60169491525425,483.0305084745758,483.0305084745758,514.8067796610164,0.0249948983050847,0.061897,0.0503978474576271,-13.561525423728812,0.1878280169491525,0,0.1606374237288135,0.3018529152542373,0.4467485423728812,0.0432806440677966,0.0474806440677966,0.455538,0.573905,0.070471,0.076814,0.4545386101694915,mid,complete
capture_20260708185259,node01,test_tone_500hz,500,low_mid,band_low_mid_ratio,59,59,2026-07-08T18:53:06.804Z,2026-07-08T18:54:04.961Z,48006.24762711864,1,-84.40728813559323,35.592711864406766,475.0864406779656,475.0864406779656,514.8067796610164,0.0230404406779661,0.07723,0.0472228813559321,-14.04881355932203,0.207722661016949,0,0.1803872372881355,0.3022464745762711,0.4316163898305085,0.0400005423728813,0.0457492881355932,0.469658,0.613957,0.077337,0.079826,0.445623406779661,mid,complete
capture_20260708185259,node04,test_tone_500hz,500,low_mid,band_low_mid_ratio,59,59,2026-07-08T18:53:06.819Z,2026-07-08T18:54:05.054Z,48004.279152542375,1,-86.54779661016946,33.45220338983051,113.628813559322,113.628813559322,391.6779661016949,0.0713825423728813,0.263916,0.3466669661016949,-5.980677966101696,0.4181917457627118,0,0.3468141186440677,0.2300008813559322,0.2258277118644067,0.0942399152542372,0.1031175254237288,0.686587,0.436924,0.177223,0.207626,0.4100131864406781,bass,complete
capture_20260708185259,node03,test_tone_500hz,500,low_mid,band_low_mid_ratio,59,59,2026-07-08T18:53:06.811Z,2026-07-08T18:54:05.031Z,48015.86288135594,1,-86.43627118644068,33.563728813559315,301.9101694915254,301.9101694915254,472.7135593220335,0.0441818983050847,0.111028,0.1316927288135592,-9.59322033898305,0.3111727288135593,0,0.2465817288135593,0.2910859491525424,0.3097114067796609,0.0699406440677966,0.0826802372881356,0.537937,0.530667,0.119986,0.132583,0.3952847796610169,mid,complete
capture_20260708185530,node02,test_tone_2khz,2000,presence/mid,band_presence_ratio,59,59,2026-07-08T18:55:38.246Z,2026-07-08T18:56:36.540Z,47999.41966101696,1,-86.76966101694913,33.23033898305085,138.25932203389817,138.25932203389817,1026.4728813559318,0.0595321186440678,0.197194,0.3053349999999999,-6.22406779661017,0.3704400338983051,0,0.3104822542372881,0.1974192033898305,0.2436075762711863,0.148346,0.1001449661016949,0.747577,0.416099,0.232788,0.16964,0.3922751694915254,bass,complete
capture_20260708185530,node04,test_tone_2khz,2000,presence/mid,band_presence_ratio,59,59,2026-07-08T18:55:38.262Z,2026-07-08T18:56:36.519Z,47994.285423728805,1,-86.60000000000001,33.39999999999999,211.35593220338967,211.35593220338967,791.3084745762711,0.0606474576271186,0.149753,0.3066577627118645,-6.123389830508475,0.4012269322033899,0,0.3413792033898304,0.1887525423728813,0.2326695423728813,0.1375632372881356,0.0996353728813559,0.750025,0.491616,0.263829,0.190339,0.4083989661016949,bass,complete
capture_20260708185530,node01,test_tone_2khz,2000,presence/mid,band_presence_ratio,59,59,2026-07-08T18:55:38.264Z,2026-07-08T18:56:36.484Z,48017.621355932206,1,-85.47067796610172,34.5293220338983,1348.2440677966104,1348.2440677966104,2015.6000000000024,0.0307273389830508,0.086703,0.2928034745762711,-6.020338983050848,0.3048263389830508,0,0.2630431355932204,0.1342797288135593,0.2602410169491526,0.2837135932203391,0.0587224745762711,0.580514,0.419969,0.42337,0.098343,0.3453275423728813,bass,complete
capture_20260708185530,node03,test_tone_2khz,2000,presence/mid,band_presence_ratio,59,59,2026-07-08T18:55:38.255Z,2026-07-08T18:56:36.492Z,48017.78762711864,1,-85.67101694915253,34.32898305084746,1416.569491525424,1416.569491525424,2015.6000000000024,0.0355616949152542,0.09692,0.3715705084745763,-5.218135593220339,0.2817555254237288,0,0.2450660677966101,0.1321722033898305,0.2635718983050848,0.2932973389830507,0.0658925762711864,0.802512,0.433894,0.438397,0.156581,0.3655510169491525,presence,complete
capture_20260708185806,node02,test_tone_5khz,5000,presence/high,band_presence_ratio,59,59,2026-07-08T18:58:13.745Z,2026-07-08T18:59:11.934Z,48015.30847457628,1,-62.35237288135593,57.64762711864407,5015.600000000001,5015.600000000001,5015.600000000001,9.7033898305e-05,0.000242,0.3143213728813559,-5.63898305084746,0.0011094576271186,0,0.0009923050847457,0.0005153898305084,0.0005095593220338,0.3738636440677966,0.6241188983050849,0.003221,0.000882,0.383954,0.637225,0.6241188983050849,high,complete
capture_20260708185806,node03,test_tone_5khz,5000,presence/high,band_presence_ratio,59,59,2026-07-08T18:58:13.717Z,2026-07-08T18:59:11.928Z,48014.53322033899,1,-82.8071186440678,37.1928813559322,5015.600000000001,5015.600000000001,5015.600000000001,0.0125617627118644,0.029019,0.3316646949152542,-5.675254237288136,0.1323975423728813,0,0.1124843728813559,0.0687262033898305,0.0579721016949152,0.2904255423728814,0.4703916610169489,0.376643,0.109641,0.344089,0.555267,0.4711007966101693,high,complete
capture_20260708185806,node04,test_tone_5khz,5000,presence/high,band_presence_ratio,59,59,2026-07-08T18:58:13.756Z,2026-07-08T18:59:11.941Z,48017.35355932202,1,-75.82000000000001,44.18000000000001,5015.600000000001,5015.600000000001,5015.600000000001,0.0025077288135593,0.007077,0.3554524745762711,-5.4535593220339,0.0230158305084745,0,0.0203531864406779,0.0124486101694915,0.0126909830508474,0.3571483728813558,0.5973588474576271,0.112362,0.026875,0.374643,0.628891,0.5973588474576271,high,complete
capture_20260708185806,node01,test_tone_5khz,5000,presence/high,band_presence_ratio,59,59,2026-07-08T18:58:13.777Z,2026-07-08T18:59:11.980Z,48000.86813559324,1,-73.16745762711864,46.83254237288134,5015.600000000001,5015.600000000001,5015.600000000001,0.0012429152542372,0.002925,0.3643123220338984,-5.172711864406781,0.0153065254237288,0,0.0135251694915254,0.0069217457627118,0.0057862033898305,0.3656871694915254,0.6080798474576272,0.048348,0.011719,0.376568,0.624715,0.6080798474576272,high,complete
