timestamp_iso,request_id,node_id,test_label,seq,i2s_rx_mode,i2s_sample_conversion,effective_sample_rate_hz,sample_rate_ok,audio_read_timeouts,dbfs,db_spl,f_peak_full_hz,f_peak_acoustic_hz,tone_1khz_ratio,tone_1khz_local_ratio,tone_1khz_contrast_db,tone_1khz_contrast_hit,tone_1khz_detected,tone_1khz_peak_hz,room_band_total_energy,band_ratio_sum,low_rumble_ratio,band_sub_ratio,band_bass_ratio,band_low_mid_ratio,band_mid_ratio,band_presence_ratio,band_high_ratio,dominant_band_name,dominant_band_ratio,dominant_band_peak_hz,temp_c,rh_percent,notes
2026-07-05T19:58:59.595Z,capture_20260705195835,node04,quiet_room,18,stereo_raw,shift8,47872.0,True,50,-86.49,33.51,93.8,609.4,0.059061,0.287898,-5.41,False,False,984.4,0.000628,1.000001,0.162597,0,0.128074,0.111015,0.313058,0.281053,0.166801,mid,0.313058,609.4,23.84,48.42,
2026-07-05T19:59:00.605Z,capture_20260705195835,node04,quiet_room,19,stereo_raw,shift8,48158.41,True,59,-87.02,32.98,234.4,234.4,0.032623,0.121799,-9.14,False,False,1078.1,0.001266,1.0,0.260788,0,0.121259,0.45005,0.27754,0.064886,0.086265,low_mid,0.45005,234.4,23.83,48.4,
2026-07-05T20:00:05.469Z,capture_20260705195958,node04,tone_1khz_100db,1,stereo_raw,shift8,49584.07,True,58,-86.19,33.81,46.9,375.0,0.095316,0.444325,-3.52,False,False,937.5,0.001108,1.0,0.516815,0,0.455842,0.198966,0.172661,0.072677,0.099854,bass,0.455842,46.9,23.87,48.38,
2026-07-05T20:00:06.476Z,capture_20260705195958,node04,tone_1khz_100db,2,stereo_raw,shift8,47855.89,True,50,-86.43,33.57,234.4,234.4,0.155501,0.910051,-0.41,False,True,984.4,0.000978,1.0,0.176788,0,0.0837,0.378237,0.295088,0.135121,0.107854,low_mid,0.378237,234.4,23.89,48.43,
2026-07-05T20:00:07.485Z,capture_20260705195958,node04,tone_1khz_100db,3,stereo_raw,shift8,47904.95,True,60,-86.88,33.12,46.9,234.4,0.116854,0.694102,-1.59,False,False,984.4,0.001109,1.0,0.419229,0,0.355905,0.24516,0.19453,0.084746,0.119659,bass,0.355905,46.9,23.89,48.43,
2026-07-05T20:00:08.496Z,capture_20260705195958,node04,tone_1khz_100db,4,stereo_raw,shift8,47904.95,True,50,-86.63,33.37,46.9,375.0,0.098589,0.498147,-3.03,False,False,1031.2,0.002827,1.0,0.770941,0,0.715937,0.120684,0.088712,0.038345,0.036322,bass,0.715937,46.9,23.91,48.4,
2026-07-05T20:00:09.557Z,capture_20260705195958,node04,tone_1khz_100db,5,stereo_raw,shift8,47904.9,True,56,-86.55,33.45,93.8,515.6,0.117063,0.399403,-3.99,False,False,1078.1,0.00089,1.0,0.233411,0,0.172369,0.271234,0.341812,0.093436,0.121149,mid,0.341812,515.6,23.91,48.4,
2026-07-05T20:00:10.523Z,capture_20260705195958,node04,tone_1khz_100db,6,stereo_raw,shift8,47905.0,True,48,-87.26,32.74,515.6,515.6,0.155648,0.743533,-1.29,False,True,984.4,0.000791,0.999999,0.127129,0,0.094334,0.249284,0.346306,0.167262,0.142813,mid,0.346306,515.6,23.9,48.37,
2026-07-05T20:00:11.545Z,capture_20260705195958,node04,tone_1khz_100db,7,stereo_raw,shift8,47904.95,True,59,-86.14,33.86,46.9,656.2,0.084643,0.373696,-4.27,False,False,984.4,0.001049,0.999999,0.375256,0,0.299206,0.302266,0.218437,0.08,0.10009,low_mid,0.302266,281.2,23.9,48.37,
2026-07-05T20:00:12.539Z,capture_20260705195958,node04,tone_1khz_100db,8,stereo_raw,shift8,47904.95,True,50,-86.35,33.65,46.9,328.1,0.152298,0.686505,-1.63,False,True,984.4,0.002348,0.999999,0.770581,0,0.753059,0.059464,0.110362,0.033716,0.043398,bass,0.753059,46.9,23.88,48.39,
2026-07-05T20:00:13.535Z,capture_20260705195958,node04,tone_1khz_100db,9,stereo_raw,shift8,48128.0,True,49,-86.86,33.14,46.9,421.9,0.095549,0.497125,-3.04,False,False,984.4,0.000825,1.0,0.172063,0,0.112148,0.341788,0.290805,0.132248,0.123011,low_mid,0.341788,421.9,23.88,48.39,
2026-07-05T20:00:14.552Z,capture_20260705195958,node04,tone_1khz_100db,10,stereo_raw,shift8,47904.95,True,56,-86.53,33.47,140.6,515.6,0.131589,0.359457,-4.44,False,True,984.4,0.000742,0.999999,0.278284,0,0.233927,0.105234,0.400453,0.131414,0.128971,mid,0.400453,515.6,23.89,48.41,
