label,capture_id,sample_index,dataset_split,dbfs_mean,dbfs_std,dbfs_range,f_peak_acoustic_hz_mean,f_peak_acoustic_hz_std,f_peak_acoustic_hz_range,low_rumble_ratio_mean,low_rumble_ratio_std,low_rumble_ratio_range,band_bass_ratio_mean,band_bass_ratio_std,band_bass_ratio_range,band_low_mid_ratio_mean,band_low_mid_ratio_std,band_low_mid_ratio_range,band_mid_ratio_mean,band_mid_ratio_std,band_mid_ratio_range,band_presence_ratio_mean,band_presence_ratio_std,band_presence_ratio_range,band_high_ratio_mean,band_high_ratio_std,band_high_ratio_range,band_bass_peak_hz_mean,band_bass_peak_hz_std,band_bass_peak_hz_range,band_low_mid_peak_hz_mean,band_low_mid_peak_hz_std,band_low_mid_peak_hz_range,band_mid_peak_hz_mean,band_mid_peak_hz_std,band_mid_peak_hz_range,band_presence_peak_hz_mean,band_presence_peak_hz_std,band_presence_peak_hz_range,band_high_peak_hz_mean,band_high_peak_hz_std,band_high_peak_hz_range,dominant_band_ratio_mean,dominant_band_ratio_std,dominant_band_ratio_range,dominant_band_peak_hz_mean,dominant_band_peak_hz_std,dominant_band_peak_hz_range,fft_low_ratio_mean,fft_low_ratio_std,fft_low_ratio_range,fft_mid_ratio_mean,fft_mid_ratio_std,fft_mid_ratio_range,fft_high_ratio_mean,fft_high_ratio_std,fft_high_ratio_range,fft_total_energy_mean,fft_total_energy_std,fft_total_energy_range
low,capture_20260719201551,13,training,-86.195,1.20088509,3.02,328.125,87.71514621,234.4,0.33850825,0.1588668857,0.440201,0.27715075,0.1622543112,0.458239,0.363554,0.165479768,0.459322,0.18477775,0.04941244259,0.126807,0.07343175,0.0210888704,0.057347,0.10108525,0.03035530744,0.070543,82.05,38.8497426,93.7,328.125,87.71514621,234.4,925.775,338.6403282,843.8,2812.5,807.8073626,1968.7,6878.925,2198.497118,5437.6,0.448358,0.1221595787,0.306139,222.65,106.7402572,281.2,0.40047025,0.139566708,0.368969,0.46817825,0.1808491421,0.483578,0.131351,0.0419174506,0.114608,0.001173259075,0.0003599264494,0.0008840848
low,capture_20260719201551,14,training,-86.14,1.290445659,3.37,515.625,198.8973526,468.8,0.28462175,0.04945405727,0.139236,0.24334625,0.06628017708,0.18516,0.26563275,0.1537735128,0.356953,0.2790305,0.07909588509,0.206472,0.1043465,0.0547617633,0.149701,0.10764425,0.05256351731,0.145199,58.625,20.30829572,46.9,328.125,99.45457192,281.3,855.475,166.9467486,421.8,2636.675,606.0939918,1500,7816.425,1366.370551,3562.5,0.3840765,0.04220551051,0.118022,515.625,198.8973526,468.8,0.30753725,0.05885830531,0.146177,0.52495975,0.0897181517,0.242411,0.167503,0.08749385164,0.239837,0.0015509471,0.00126358836,0.0031561275
low,capture_20260719201551,15,training,-85.905,1.505929945,3.67,269.525,38.84220482,93.7,0.52848625,0.05005490512,0.136178,0.452208,0.05595578127,0.13943,0.22816725,0.02727616101,0.074192,0.1525965,0.04558900193,0.117046,0.07709925,0.0192104057,0.049696,0.0899285,0.02086868633,0.05349,46.9,0,0,234.375,33.12796213,93.7,550.775,38.88742567,93.8,2671.875,263.0474232,609.3,5894.525,230.5079432,609.3,0.452208,0.05595578127,0.13943,46.9,0,0,0.577213,0.04908477525,0.137459,0.2930995,0.04076940938,0.103102,0.12968775,0.03083228666,0.076593,0.001341669075,0.00027776338,0.0007060797
low,capture_20260719201551,16,training,-84.775,3.031010558,7.15,328.15,93.75,187.5,0.27614925,0.132979505,0.351729,0.227289,0.1285990696,0.320427,0.289117,0.09500197349,0.257917,0.305837,0.09594518365,0.246226,0.083977,0.04610773005,0.125916,0.09378075,0.05115419593,0.137157,82.05,38.8497426,93.7,328.15,93.75,187.5,808.6,101.5097286,281.3,2988.275,1056.725081,2578.2,7500,2128.039646,5062.5,0.38150525,0.06824886756,0.160048,386.75,263.860176,703.1,0.32629425,0.1650686815,0.38619,0.5381915,0.2072905385,0.535285,0.1355145,0.07383725445,0.199594,0.003651446775,0.004816032749,0.0113023246
low,capture_20260719201551,17,training,-84.7525,3.455693671,8.15,539.075,180.0415004,468.8,0.32793525,0.1201841363,0.305315,0.23954525,0.1480300443,0.37911,0.2574835,0.1200207049,0.335228,0.285566,0.1322937241,0.365623,0.104869,0.04182726439,0.104117,0.11253625,0.03868763311,0.106127,82.05,38.8497426,93.7,222.65,60.88158589,140.6,937.525,385.1311165,984.4,2402.35,173.4381374,468.8,7628.9,1826.726368,3984.3,0.42099375,0.08491746169,0.215298,339.85,281.9853675,750,0.3615725,0.1035671129,0.265223,0.47107025,0.1090100415,0.288781,0.167357,0.06148683721,0.159661,0.0009774475,0.0003125974918,0.000851999
low,capture_20260719201551,18,training,-86.2275,0.9952732037,2.5,421.85,172.2399562,421.9,0.44706175,0.1237608455,0.317785,0.36446775,0.1010561907,0.259872,0.24336075,0.1118411995,0.263866,0.21460625,0.05772357325,0.145177,0.075234,0.01967371547,0.053381,0.10233125,0.02915502514,0.076017,46.9,0,0,246.1,101.4981773,234.4,609.35,74.10797865,187.5,2777.35,604.302385,1593.8,6750,2200.876912,5390.6,0.41894075,0.05693344039,0.153597,140.65,162.3797632,375,0.465877,0.1194662593,0.306959,0.40052675,0.1490335869,0.368991,0.13359625,0.03606862405,0.098613,0.001128795525,0.0003105337389,0.0007864023
low,capture_20260719201551,19,training,-86.06,1.520312468,3.66,339.85,90.03214704,234.4,0.369601,0.2210517804,0.606489,0.29101025,0.2006335447,0.548629,0.40151275,0.2596712517,0.653932,0.1692805,0.06304159832,0.141804,0.06114,0.0298264396,0.078411,0.0770565,0.03915572072,0.094794,82.05,38.8497426,93.7,246.1,76.84403035,187.5,656.25,190.4225367,468.8,2414.075,235.5626177,656.3,7628.9,2037.148437,5109.4,0.52875,0.2025550525,0.492646,187.5,119.5033682,328.1,0.412941,0.2403502751,0.673179,0.4856755,0.2658115033,0.72112,0.10138325,0.05012004914,0.125946,0.00211012345,0.001556418442,0.0038498992
low,capture_20260719201551,20,training,-86.1975,1.429359559,3.39,386.725,116.5919246,328.1,0.28006525,0.1170884152,0.310235,0.2304455,0.09912049472,0.23969,0.3568155,0.2356916358,0.615936,0.226629,0.071876348,0.164673,0.08999325,0.04073528253,0.101769,0.0961165,0.04538122976,0.119724,46.9,0,0,304.7,70.3,140.6,621.1,106.778673,281.3,2906.25,656.25,1687.5,8191.4,2043.023363,5437.4,0.42262075,0.1842571773,0.462669,445.325,150.0712727,375,0.329585,0.1604115023,0.446903,0.524842,0.2150338948,0.574179,0.14557325,0.06746054094,0.165837,0.00176829055,0.001522558462,0.0036578632
low,capture_20260719201551,21,training,-86.1325,1.544981796,3.87,316.425,83.68423911,187.5,0.323517,0.1167191788,0.326147,0.2522865,0.1060128421,0.298192,0.3125925,0.1657575501,0.421618,0.26485975,0.05038993068,0.124498,0.082833,0.03184225296,0.083135,0.08742825,0.03904580503,0.109826,82.05,38.8497426,93.7,304.7,96.63832056,234.4,726.55,70.35,140.7,3023.475,695.6715366,1734.4,8988.275,2432.406803,6093.8,0.41776275,0.08654315034,0.218509,410.175,265.9415855,750,0.35884075,0.1143027153,0.318678,0.51318225,0.1533759412,0.421291,0.1279765,0.05333187478,0.146574,0.0016057535,0.001154180176,0.0028901785
low,capture_20260719201551,22,training,-85.715,1.896911964,4.74,375,33.16330804,93.8,0.475734,0.2258043877,0.597854,0.44097825,0.2150178155,0.585018,0.2934575,0.2494482878,0.6094,0.140358,0.02960671943,0.07382,0.06018875,0.02606121492,0.064241,0.06501775,0.02922920646,0.074144,46.9,0,0,375,33.16330804,93.8,785.175,121.2166733,328.1,3011.725,700.2942502,1734.4,7101.525,2248.158165,5765.6,0.59950325,0.1012928786,0.22597,128.925,142.0714675,328.1,0.487754,0.2287645903,0.600172,0.41791875,0.2651226041,0.669489,0.094327,0.04187775482,0.104522,0.00237304375,0.001744004107,0.00427487
